agraz,,,,,,
,,,,,,
arandanos,,,,,,
badea,,,,,,
banano criollo ,,,,,,
breva ,,,,,,
ciruela ,,,,,,
coco,,,,,,
curuba,,,,,,
pata de res ,,,,,,
POLLO,,,,,,
pollo entero ,,,,,,
gallina entera,,,,,,
pechuga ,,,,,,
pierna pernil ,,,,,,
rabadilla,,,,,,
bandeja de patas,,,,,,
bandejas de alas ,,,,,,
bandeja de mollejas,,,,,,
bandeja de corazones ,,,,,,
bandeja de menudencias ,,,,,,
pollo criollo ,,,,,,
gallina criolla ,,,,,,
PESCADO ,,,,,,
trucha ,,,,,,
mojarra ,,,,,,
bagre ,,,,,,
cabeza de bagre ,,,,,,
cachama ,,,,,,
tilapia ,,,,,,
pechuga de bagre ,,,,,,
camares ,,,,,,
pulpo ,,,,,,
blanquillo ,,,,,,
,,,,,,
CONDIMENTOS X 125 GR,,,,,,
comino ,,,,,,
adobo completo ,,,,,,
paprika ,,,,,,
ajo molido ,,,,,,
ajo mix ,,,,,,
finas hierbas ,,,,,,
bicarbonato ,,,,,,
oregano picado ,,,,,,
laurel picado ,,,,,,
tomillo ,,,,,,
color ,,,,,,
FRUTROS SECOS Y ESPECIAS ,,,,,,
semillas de calabaza,,,,,,
semillas de chia ,,,,,,
quinua,,,,,,
pistachos ,,,,,,
nueces,,,,,,
mani crudo sin sal ,,,,,,
mani crudo con sal ,,,,,,
habas natural ,,,,,,
habas picantes ,,,,,,
granola ,,,,,,
ajonjoli ,,,,,,
coco acaramelizado ,,,,,,
almendra ,,,,,,
arandanos desidratados,,,,,,
,,,,,,
,,,,,,
AROMATICAS Y HIERBAS X 125 GR ,,,,,,
EUCALIPTO ,,,,,,
ALBAHACA ,,,,,,
TOMILLO ,,,,,,
OREGANO ,,,,,,
ALCACHOFA,,,,,,
MANZANILLA,,,,,,
HIERBABUENA ,,,,,,
TORONJIL ,,,,,,
FLOR DE JAMAICA,,,,,,
PULMONARIA ,,,,,,
LIMONARIA ,,,,,,
,,,,,,
para los negocios ,,,,,,
papa pastusa x @,,,,,,
papa unica x @ ,,,,,,
papa pareja @,,,,,,
tomate canastilla ,,,,,,
tomate x @,,,,,,
platano verde x @,,,,,,
platano maduro x @,,,,,,
